date,gross,turnover_cost,borrow_cost,net
2023-08-03,-0.002277813060412716,0.0,8.321850000000001e-05,-0.002361031560412716
2023-08-04,-0.009607913287138233,0.0,8.321850000000001e-05,-0.009691131787138232
2023-08-07,0.0013196714209641536,4.9903850000000005e-05,8.321850000000001e-05,0.0011865490709641535
2023-08-08,-0.004603018317266107,4.99068e-05,8.314566666666667e-05,-0.004736070783932774
2023-08-09,0.002457056756242173,0.0,8.314566666666667e-05,0.0023739110895755066
2023-08-10,-0.005329966841697935,0.0,8.314566666666667e-05,-0.005413112508364602
2023-08-14,0.0065108979530135004,0.0,8.314566666666667e-05,0.0064277522863468335
2023-08-15,-0.0037869827198575155,4.9924300000000006e-05,8.314566666666667e-05,-0.003920052686524182
2023-08-16,-0.0015984389232491037,4.9838100000000007e-05,8.298475000000002e-05,-0.0017312617732491036
2023-08-17,0.001237006346567674,0.0,8.298475000000002e-05,0.001154021596567674
2023-08-18,-0.0008885635110628344,0.0,8.298475000000002e-05,-0.0009715482610628344
2023-08-21,0.002367830563888666,0.0,8.298475000000002e-05,0.002284845813888666
2023-08-22,-0.002207819162251217,4.99068e-05,8.298475000000002e-05,-0.002340710712251217
2023-08-23,-0.0009732479960112419,4.97395e-05,8.292525e-05,-0.001105912746011242
2023-08-24,-0.00126910224031479,0.0,8.292525e-05,-0.00135202749031479
2023-08-25,0.0011842208666948267,0.0,8.292525e-05,0.0011012956166948267
2023-08-28,-0.002985264623569463,0.0,8.292525e-05,-0.003068189873569463
2023-08-29,0.0023342931915727007,4.9838100000000007e-05,8.292525e-05,0.0022015298415727007
2023-08-30,0.0005084557384438285,4.986035000000001e-05,8.307016666666666e-05,0.0003755252217771619
2023-08-31,-0.0022000210301248184,0.0,8.307016666666666e-05,-0.002283091196791485
2023-09-01,0.0007476306790136661,0.0,8.307016666666666e-05,0.0006645605123469995
2023-09-04,-0.000951385787575065,0.0,8.307016666666666e-05,-0.0010344559542417317
2023-09-05,0.0016636494649775128,4.97395e-05,8.307016666666666e-05,0.0015308397983108462
2023-09-06,0.0007582125247570263,4.9876900000000004e-05,8.319408333333335e-05,0.0006251415414236929
2023-09-07,-0.000754044047181094,0.0,8.319408333333335e-05,-0.0008372381305144274
2023-09-08,-0.003090387114841322,0.0,8.319408333333335e-05,-0.0031735811981746555
2023-09-11,-0.003542038208586572,0.0,8.319408333333335e-05,-0.0036252322919199053
2023-09-12,-0.00017742910111233953,4.986035000000001e-05,8.319408333333335e-05,-0.0003104835344456729
2023-09-13,-0.00024676890206213296,4.9949600000000014e-05,8.321533333333333e-05,-0.0003799338353954663
2023-09-14,0.0013882671665535213,0.0,8.321533333333333e-05,0.001305051833220188
2023-09-15,-1.2178633145710778e-05,0.0,8.321533333333333e-05,-9.539396647904411e-05
2023-09-19,-0.004432786265078186,0.0,8.321533333333333e-05,-0.0045160015984115195
2023-09-20,0.0014951590109914766,4.9876900000000004e-05,8.321533333333333e-05,0.0013620667776581433
2023-09-21,-0.0007338771063683636,4.9906599999999994e-05,8.3245e-05,-0.0008670287063683637
2023-09-22,0.0017877069876788578,0.0,8.3245e-05,0.0017044619876788578
2023-09-25,0.004719035026001201,0.0,8.3245e-05,0.004635790026001201
