entry_date,date,side,z,width,entry_spread,exit_spread,gross
2025-03-10,2025-03-17,BUY,-0.6935642081385005,3500.0,345.0,196.0,-0.04257142857142857
2025-03-24,2025-03-31,SELL,0.7043837955665118,3875.0,406.0,995.0,-0.152
2025-04-14,2025-04-21,SELL,1.1809613011159983,3250.0,385.0,255.0,0.04
2025-04-28,2025-05-08,SELL,1.4743263515013205,3500.0,410.0,176.0,0.06685714285714285
2025-05-19,2025-05-26,SELL,0.9896505007168279,3750.0,219.0,134.0,0.02266666666666667
2025-06-16,2025-06-23,SELL,1.1476101339141662,3875.0,219.0,185.0,0.008774193548387097
2025-06-30,2025-07-07,BUY,-0.7039981935797255,4000.0,342.0,495.0,0.03825
2025-07-14,2025-07-22,SELL,0.6922895778607012,4000.0,224.0,113.0,0.02775
2025-07-28,2025-08-04,SELL,1.642266406244867,4250.0,379.0,490.0,-0.02611764705882353
2025-08-18,2025-08-25,SELL,0.7624518577618132,4250.0,228.0,274.0,-0.010823529411764706
2025-09-01,2025-09-08,BUY,-0.6917243798038745,4250.0,362.0,150.0,-0.04988235294117647
2025-09-29,2025-10-06,SELL,0.6242812977181816,4500.0,445.0,152.0,0.0651111111111111
2025-10-14,2025-10-21,BUY,-0.5066334138603311,4750.0,530.0,200.0,-0.06947368421052631
2025-10-27,2025-11-04,SELL,1.6640028695330666,5000.0,580.0,500.0,0.016
2025-11-17,2025-11-25,SELL,0.8880366343968084,5000.0,394.0,756.0,-0.0724
2025-12-01,2025-12-08,BUY,-0.5077269299868553,4875.0,542.0,277.0,-0.05435897435897436
2025-12-15,2025-12-22,SELL,0.6195772793690454,5000.0,372.0,186.0,0.0372
2025-12-29,2026-01-08,SELL,2.328551120588762,5000.0,482.0,359.0,0.0246
2026-02-02,2026-02-09,BUY,-1.1988939717446205,5000.0,760.0,247.0,-0.1026
2026-02-24,2026-03-03,SELL,1.3120735027160066,5500.0,685.0,935.0,-0.045454545454545456
2026-03-16,2026-03-24,SELL,0.5638316938012775,5625.0,765.0,1000.0,-0.041777777777777775
2026-03-30,2026-04-06,BUY,-0.6446074106563533,5000.0,890.0,494.0,-0.0792
2026-05-07,2026-05-14,BUY,-1.1527133215208285,6000.0,719.0,610.0,-0.018166666666666668
2026-06-01,2026-06-08,BUY,-1.906914533574462,7000.0,1050.0,1870.0,0.11714285714285715
2026-06-29,2026-07-06,SELL,0.5829543635220724,7000.0,1300.0,1125.0,0.025
2026-07-13,2026-07-21,BUY,-1.8625659884807892,7000.0,1015.0,1080.0,0.009285714285714286
