pair,entry,exit,sign,ret
GBPUSD,2020-07-30,2020-08-19,-1,-0.010369229173309515
USDJPY,2020-08-18,2020-09-07,1,0.010322130163060064
AUDUSD,2020-08-28,2020-09-17,-1,0.009426141874718425
GBPUSD,2020-08-28,2020-09-17,-1,0.029721955987654536
NZDUSD,2020-09-23,2020-10-13,1,0.016130810890670564
AUDUSD,2020-11-03,2020-11-23,-1,-0.015958011465964303
USDJPY,2020-11-05,2020-11-25,1,0.00876835067142708
USDCAD,2020-11-05,2020-11-25,1,-0.00666658796783508
USDCHF,2020-11-05,2020-11-25,1,0.007647337031745691
USDCAD,2020-12-04,2020-12-24,1,0.004790202293111546
USDCHF,2020-12-05,2020-12-25,1,-0.0006159188449387349
EURUSD,2020-12-05,2020-12-25,-1,-0.004685098283662759
GBPUSD,2020-12-17,2021-01-06,-1,-0.00422836274261455
NZDUSD,2021-01-11,2021-01-31,1,0.0015950193601907052
USDCHF,2021-02-09,2021-03-01,1,0.0168391630319585
NZDUSD,2021-03-24,2021-04-13,1,0.009057406791578541
USDCHF,2021-04-08,2021-04-28,1,-0.010636080006153962
USDCAD,2021-04-28,2021-05-18,1,-0.019805436448200032
USDCAD,2021-06-18,2021-07-08,-1,-0.0014858232333572823
NZDUSD,2021-06-18,2021-07-08,1,0.011905794220921403
USDCAD,2021-07-08,2021-07-28,-1,-0.004745127385404795
NZDUSD,2021-08-18,2021-09-07,1,0.03763923759312893
USDCAD,2021-08-19,2021-09-08,-1,0.014545605539607166
AUDUSD,2021-08-27,2021-09-16,-1,-0.003972769627313959
NZDUSD,2021-11-25,2021-12-15,1,-0.015625973571016322
USDCHF,2021-11-30,2021-12-20,1,0.004569614711047423
USDCAD,2021-12-07,2021-12-27,1,0.01336178368825933
AUDUSD,2021-12-08,2021-12-28,-1,-0.00923068763384593
NZDUSD,2022-01-27,2022-02-16,1,0.008749805342381331
GBPUSD,2022-01-27,2022-02-16,1,0.011553595899105006
EURUSD,2022-02-03,2022-02-23,-1,0.009807592466001044
GBPUSD,2022-02-24,2022-03-16,1,-0.02465531409512421
AUDUSD,2022-03-04,2022-03-24,-1,-0.016545107556886915
USDCAD,2022-03-19,2022-04-08,1,-0.0012779403547407762
GBPUSD,2022-04-25,2022-05-15,1,-0.038007939890164766
USDCAD,2022-04-25,2022-05-15,-1,-0.013119302487158618
NZDUSD,2022-04-29,2022-05-19,1,-0.024856308239369247
AUDUSD,2022-05-04,2022-05-24,-1,0.0231847491062785
GBPUSD,2022-05-17,2022-06-06,-1,-0.00019945727283983937
USDCHF,2022-05-19,2022-06-08,1,0.002344348303021631
USDCHF,2022-06-16,2022-07-06,1,0.0027440655245213365
USDJPY,2022-08-01,2022-08-21,1,0.04268706769382702
NZDUSD,2022-08-17,2022-09-06,1,-0.027541341579532717
USDCHF,2022-09-11,2022-10-01,1,0.029713454507218802
USDCAD,2022-09-16,2022-10-06,-1,-0.024618693495094605
NZDUSD,2022-09-23,2022-10-13,1,-0.023152435064862285
GBPUSD,2022-10-02,2022-10-22,-1,-0.014178344069985877
USDCHF,2022-11-08,2022-11-28,1,-0.03647113626777922
EURUSD,2022-11-08,2022-11-28,-1,-0.026638551122759202
USDJPY,2022-11-10,2022-11-30,1,-0.019203572421570156
USDJPY,2022-12-02,2022-12-22,1,-0.012008602597730435
EURUSD,2023-01-12,2023-02-01,-1,0.0009721247612283774
NZDUSD,2023-02-06,2023-02-26,1,-0.022700754791357025
USDCHF,2023-03-12,2023-04-01,1,-0.0023479648930321757
USDJPY,2023-03-13,2023-04-02,1,0.000603774236205671
GBPUSD,2023-03-13,2023-04-02,-1,-0.013366974593331426
USDCAD,2023-03-30,2023-04-19,1,-0.009422463143370847
USDCAD,2023-05-07,2023-05-27,1,0.017841252348561695
NZDUSD,2023-05-24,2023-06-13,1,0.004084457863449416
EURUSD,2023-06-15,2023-07-05,-1,0.006570162584712329
GBPUSD,2023-06-16,2023-07-06,-1,0.00937352693130417
USDJPY,2023-07-10,2023-07-30,1,0.0019419264773776895
USDCHF,2023-07-11,2023-07-31,1,-0.008329432074986747
EURUSD,2023-07-12,2023-08-01,-1,0.013777941376725993
AUDUSD,2023-07-13,2023-08-02,-1,0.040587764027775586
USDCHF,2023-10-08,2023-10-28,1,-0.005081131256353722
USDCAD,2023-10-09,2023-10-29,1,0.02143802608663755
NZDUSD,2023-10-14,2023-11-03,1,0.0019880889372205016
GBPUSD,2023-11-03,2023-11-23,-1,-0.008509607110986575
USDCAD,2023-11-03,2023-11-23,1,0.0027711968412269267
AUDUSD,2023-11-03,2023-11-23,-1,-0.003775689153632402
EURUSD,2023-11-03,2023-11-23,-1,-0.013719867955798763
EURUSD,2023-12-14,2024-01-03,-1,0.005352441690388804
USDCAD,2023-12-14,2024-01-03,1,-0.006007080809886316
USDJPY,2023-12-16,2024-01-05,1,0.020918808280502917
USDCHF,2023-12-21,2024-01-10,1,-0.0028793041974641666
NZDUSD,2024-01-17,2024-02-06,1,-0.009849687017072378
GBPUSD,2024-03-07,2024-03-27,-1,0.01463274074588138
