symbol,effective_from,effective_to
6741,2026-05-29,
6742,2026-05-29,
6744,2026-05-29,
6745,2026-05-29,
6750,2026-05-29,
6752,2026-05-29,
6753,2026-05-29,
6754,2026-05-29,
6758,2026-05-29,
6762,2026-05-29,
6763,2026-05-29,
6768,2026-05-29,
6770,2026-05-29,
6779,2026-05-29,
6785,2026-05-29,
6787,2026-05-29,
6788,2026-05-29,
6794,2026-05-29,
6798,2026-05-29,
6800,2026-05-29,
6804,2026-05-29,
6806,2026-05-29,
6807,2026-05-29,
6809,2026-05-29,
6810,2026-05-29,
6814,2026-05-29,
6817,2026-05-29,
6820,2026-05-29,
6823,2026-05-29,
6841,2026-05-29,
6844,2026-05-29,
6845,2026-05-29,
6849,2026-05-29,
6850,2026-05-29,
6855,2026-05-29,
6856,2026-05-29,
6857,2026-05-29,
6859,2026-05-29,
6861,2026-05-29,
6866,2026-05-29,
6869,2026-05-29,
6871,2026-05-29,
6875,2026-05-29,
6877,2026-05-29,
6902,2026-05-29,
6905,2026-05-29,
6908,2026-05-29,
6914,2026-05-29,
6915,2026-05-29,
6920,2026-05-29,
6923,2026-05-29,
6925,2026-05-29,
6929,2026-05-29,
6941,2026-05-29,
6947,2026-05-29,
6951,2026-05-29,
6952,2026-05-29,
6954,2026-05-29,
6958,2026-05-29,
6961,2026-05-29,
6962,2026-05-29,
6963,2026-05-29,
6965,2026-05-29,
6966,2026-05-29,
6971,2026-05-29,
6976,2026-05-29,
6981,2026-05-29,
6986,2026-05-29,
6988,2026-05-29,
6995,2026-05-29,
6996,2026-05-29,
6997,2026-05-29,
6999,2026-05-29,
7003,2026-05-29,
7004,2026-05-29,
7011,2026-05-29,
7012,2026-05-29,
7013,2026-05-29,
7014,2026-05-29,
7033,2026-05-29,
7034,2026-05-29,
7038,2026-05-29,
7071,2026-05-29,
7085,2026-05-29,
7095,2026-05-29,
7102,2026-05-29,
7128,2026-05-29,
7130,2026-05-29,
7148,2026-05-29,
7157,2026-05-29,
7164,2026-05-29,
7167,2026-05-29,
7172,2026-05-29,
7173,2026-05-29,
7180,2026-05-29,
7181,2026-05-29,
7182,2026-05-29,
7184,2026-05-29,
7186,2026-05-29,
7187,2026-05-29,
7189,2026-05-29,
7198,2026-05-29,
7199,2026-05-29,
7201,2026-05-29,
7202,2026-05-29,
7203,2026-05-29,
7211,2026-05-29,
7220,2026-05-29,
7222,2026-05-29,
7224,2026-05-29,
7226,2026-05-29,
7231,2026-05-29,
7236,2026-05-29,
7238,2026-05-29,
7239,2026-05-29,
7240,2026-05-29,
7241,2026-05-29,
7242,2026-05-29,
7244,2026-05-29,
7245,2026-05-29,
7246,2026-05-29,
7259,2026-05-29,
7261,2026-05-29,
7267,2026-05-29,
7269,2026-05-29,
7270,2026-05-29,
7272,2026-05-29,
7276,2026-05-29,
7278,2026-05-29,
7280,2026-05-29,
7282,2026-05-29,
7283,2026-05-29,
7294,2026-05-29,
7296,2026-05-29,
7309,2026-05-29,
7313,2026-05-29,
7322,2026-05-29,
7327,2026-05-29,
7337,2026-05-29,
7350,2026-05-29,
7354,2026-05-29,
7358,2026-05-29,
7366,2026-05-29,
7380,2026-05-29,
7381,2026-05-29,
7383,2026-05-29,
7384,2026-05-29,
7388,2026-05-29,
7389,2026-05-29,
7414,2026-05-29,
7419,2026-05-29,
7421,2026-05-29,
