日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260529,日清食品ホールディングス,2897,食料品,0.0538%,TOPIX Mid400
20260529,フジッコ,2908,食料品,0.0030%,TOPIX Small 2
20260529,ロック・フィールド,2910,食料品,0.0025%,TOPIX Small 2
20260529,日本たばこ産業,2914,食料品,0.6665%,TOPIX Core30
20260529,ケンコーマヨネーズ,2915,食料品,0.0022%,TOPIX Small 2
20260529,わらべや日洋ホールディングス,2918,食料品,0.0032%,TOPIX Small 1
20260529,なとり,2922,食料品,0.0021%,TOPIX Small 2
20260529,ファーマフーズ,2929,食料品,0.0014%,TOPIX Small 2
20260529,北の達人コーポレーション,2930,化学,0.0010%,TOPIX Small 2
20260529,ユーグレナ,2931,食料品,0.0045%,TOPIX Small 1
20260529,紀文食品,2933,食料品,0.0016%,TOPIX Small 2
20260529,ピックルスホールディングス,2935,食料品,0.0012%,TOPIX Small 2
20260529,スター・マイカ・ホールディングス,2975,不動産業,0.0029%,TOPIX Small 2
20260529,ＳＲＥホールディングス,2980,不動産業,0.0021%,TOPIX Small 2
20260529,片倉工業,3001,繊維製品,0.0048%,TOPIX Small 2
20260529,グンゼ,3002,繊維製品,0.0095%,TOPIX Small 1
20260529,ヒューリック,3003,不動産業,0.0881%,TOPIX Mid400
20260529,ラサ商事,3023,卸売業,0.0018%,TOPIX Small 2
20260529,アルペン,3028,小売業,0.0037%,TOPIX Small 1
20260529,ラクーンホールディングス,3031,情報・通信業,0.0009%,TOPIX Small 2
20260529,クオールホールディングス,3034,小売業,0.0044%,TOPIX Small 1
20260529,アルコニックス,3036,卸売業,0.0073%,TOPIX Small 1
20260529,神戸物産,3038,卸売業,0.0451%,TOPIX Mid400
20260529,ソリトンシステムズ,3040,情報・通信業,0.0020%,TOPIX Small 2
20260529,ジンズホールディングス,3046,小売業,0.0120%,TOPIX Small 1
20260529,ビックカメラ,3048,小売業,0.0203%,TOPIX Mid400
20260529,ＤＣＭホールディングス,3050,小売業,0.0144%,TOPIX Small 1
20260529,ペッパーフードサービス,3053,小売業,0.0012%,TOPIX Small 2
20260529,ＭｏｎｏｔａＲＯ,3064,小売業,0.0512%,TOPIX Mid400
20260529,あい　ホールディングス,3076,卸売業,0.0107%,TOPIX Small 1
20260529,Ｊ．フロント　リテイリング,3086,小売業,0.0475%,TOPIX Mid400
20260529,ドトール・日レスホールディングス,3087,小売業,0.0090%,TOPIX Small 1
20260529,マツキヨココカラ＆カンパニー,3088,小売業,0.0755%,TOPIX Mid400
20260529,ブロンコビリー,3091,小売業,0.0047%,TOPIX Small 1
20260529,ＺＯＺＯ,3092,小売業,0.0298%,TOPIX Mid400
20260529,トレジャー・ファクトリー,3093,小売業,0.0024%,TOPIX Small 2
20260529,物語コーポレーション,3097,小売業,0.0186%,TOPIX Small 1
20260529,三越伊勢丹ホールディングス,3099,小売業,0.1011%,TOPIX Mid400
20260529,東洋紡,3101,化学,0.0142%,TOPIX Small 1
20260529,ユニチカ,3103,繊維製品,0.0088%,TOPIX Small 2
20260529,富士紡ホールディングス,3104,繊維製品,0.0101%,TOPIX Small 2
20260529,日清紡ホールディングス,3105,電気機器,0.0331%,TOPIX Mid400
20260529,倉敷紡績,3106,繊維製品,0.0130%,TOPIX Small 1
20260529,ダイワボウホールディングス,3107,卸売業,0.0245%,TOPIX Mid400
20260529,シキボウ,3109,繊維製品,0.0012%,TOPIX Small 2
20260529,日東紡績,3110,ガラス・土石製品,0.0520%,TOPIX Small 1
20260529,トヨタ紡織,3116,輸送用機器,0.0203%,TOPIX Mid400
20260529,マクニカホールディングス,3132,卸売業,0.0414%,TOPIX Mid400
20260529,Ｈａｍｅｅ,3134,小売業,0.0004%,TOPIX Small 2
20260529,ラクト・ジャパン,3139,卸売業,0.0026%,TOPIX Small 2
20260529,クリエイトＳＤホールディングス,3148,小売業,0.0087%,TOPIX Small 1
20260529,グリムス,3150,電気・ガス業,0.0015%,TOPIX Small 2
20260529,バイタルケーエスケー・ホールディングス,3151,卸売業,0.0043%,TOPIX Small 2
20260529,八洲電機,3153,卸売業,0.0041%,TOPIX Small 2
20260529,メディアスホールディングス,3154,卸売業,0.0010%,TOPIX Small 2
20260529,レスター,3156,卸売業,0.0066%,TOPIX Small 2
20260529,ＴＯＫＡＩホールディングス,3167,卸売業,0.0113%,TOPIX Small 1
20260529,三洋貿易,3176,卸売業,0.0037%,TOPIX Small 2
20260529,シュッピン,3179,小売業,0.0021%,TOPIX Small 2
20260529,ビューティガレージ,3180,卸売業,0.0008%,TOPIX Small 2
20260529,オイシックス・ラ・大地,3182,小売業,0.0040%,TOPIX Small 1
20260529,ウイン・パートナーズ,3183,卸売業,0.0017%,TOPIX Small 2
20260529,ネクステージ,3186,小売業,0.0155%,TOPIX Small 1
20260529,ジョイフル本田,3191,小売業,0.0125%,TOPIX Small 1
20260529,エターナルホスピタリティグループ,3193,小売業,0.0022%,TOPIX Small 2
20260529,ホットランドホールディングス,3196,小売業,0.0028%,TOPIX Small 2
20260529,すかいらーくホールディングス,3197,小売業,0.0734%,TOPIX Mid400
20260529,ＳＦＰホールディングス,3198,小売業,0.0024%,TOPIX Small 2
20260529,綿半ホールディングス,3199,小売業,0.0020%,TOPIX Small 2
20260529,日本毛織,3201,繊維製品,0.0079%,TOPIX Small 1
20260529,ヨシックスホールディングス,3221,小売業,0.0018%,TOPIX Small 2
20260529,ユナイテッド・スーパーマーケット・ホールディングス,3222,小売業,0.0077%,TOPIX Small 1
20260529,野村不動産ホールディングス,3231,不動産業,0.0451%,TOPIX Mid400
20260529,三重交通グループホールディングス,3232,不動産業,0.0023%,TOPIX Small 2
20260529,ディア・ライフ,3245,不動産業,0.0035%,TOPIX Small 2
20260529,地主,3252,不動産業,0.0042%,TOPIX Small 2
20260529,フィル・カンパニー,3267,建設業,0.0002%,TOPIX Small 2
20260529,ＪＰＭＣ,3276,不動産業,0.0013%,TOPIX Small 2
