combo,k,wtype,cost,weights,is_sharpe,oos_sharpe,oos_ann_ret,oos_maxdd,full_sharpe
idio_gap_reversal+gap_short_hedged,2,ew,3.0,"{""idio_gap_reversal"": 0.5, ""gap_short_hedged"": 0.5}",3.8019537412416606,7.4458312458678275,0.5483375101569106,-0.021358146776425557,5.265617044158094
idio_gap_reversal+gap_short_hedged,2,ew,7.0,"{""idio_gap_reversal"": 0.5, ""gap_short_hedged"": 0.5}",1.647893094484076,5.392698524648267,0.3971375101569105,-0.026058434888251547,3.1682432641759446
idio_gap_reversal+gap_short_hedged,2,iv,3.0,"{""idio_gap_reversal"": 0.596, ""gap_short_hedged"": 0.404}",3.739855754294143,7.887489432681598,0.5609247943907234,-0.021504850096791372,5.408881305183579
idio_gap_reversal+gap_short_hedged,2,iv,7.0,"{""idio_gap_reversal"": 0.596, ""gap_short_hedged"": 0.404}",1.336535800096064,5.625099671231437,0.40003323027465426,-0.026547770958473604,3.0866617411799875
idio_gap_reversal+sector_vol_double_neutral,2,ew,3.0,"{""idio_gap_reversal"": 0.5, ""sector_vol_double_neutral"": 0.5}",2.780930867119063,7.684259497355442,0.582969831941474,-0.02303251426903208,4.787911497020167
idio_gap_reversal+sector_vol_double_neutral,2,ew,7.0,"{""idio_gap_reversal"": 0.5, ""sector_vol_double_neutral"": 0.5}",-0.1439095069830091,5.026923508788574,0.38136983194147395,-0.030062362951471244,2.01735778616664
idio_gap_reversal+sector_vol_double_neutral,2,iv,3.0,"{""idio_gap_reversal"": 0.511, ""sector_vol_double_neutral"": 0.489}",2.7789284936952052,7.6983622647394885,0.5836405191643269,-0.0230030221577745,4.792071798881897
idio_gap_reversal+sector_vol_double_neutral,2,iv,7.0,"{""idio_gap_reversal"": 0.511, ""sector_vol_double_neutral"": 0.489}",-0.1473389437952612,5.039208587757526,0.3820405191643268,-0.030033059461730294,2.020144012894419
idio_gap_reversal+ml_combined,2,ew,3.0,"{""idio_gap_reversal"": 0.5, ""ml_combined"": 0.5}",3.861150412488658,7.568592817798654,0.6480264702351657,-0.02446161321742224,5.414426276730112
idio_gap_reversal+ml_combined,2,ew,7.0,"{""idio_gap_reversal"": 0.5, ""ml_combined"": 0.5}",1.1221444151904258,5.21401567912947,0.44642647023516574,-0.034563449099686894,2.8754105140755333
idio_gap_reversal+ml_combined,2,iv,3.0,"{""idio_gap_reversal"": 0.627, ""ml_combined"": 0.373}",3.8276109893879595,8.123702246288603,0.639317458019206,-0.021382335726154666,5.621549524377668
idio_gap_reversal+ml_combined,2,iv,7.0,"{""idio_gap_reversal"": 0.627, ""ml_combined"": 0.373}",0.8361491298998671,5.56200405971635,0.437717458019206,-0.028276091856126007,2.8620289230257265
svdn_concentrated+gap_short_hedged,2,ew,3.0,"{""svdn_concentrated"": 0.5, ""gap_short_hedged"": 0.5}",4.025209550372269,6.767798205676731,0.5853306885327739,-0.026557072705497453,5.146485385016877
svdn_concentrated+gap_short_hedged,2,ew,7.0,"{""svdn_concentrated"": 0.5, ""gap_short_hedged"": 0.5}",2.1446049626147663,5.019570906569338,0.4341306885327739,-0.03488831426958727,3.330246003124164
svdn_concentrated+gap_short_hedged,2,iv,3.0,"{""svdn_concentrated"": 0.524, ""gap_short_hedged"": 0.476}",4.0193476920402675,6.805769690934782,0.5902599330462198,-0.026909500645666662,5.16096610137397
svdn_concentrated+gap_short_hedged,2,iv,7.0,"{""svdn_concentrated"": 0.524, ""gap_short_hedged"": 0.476}",2.103083224232813,5.034455920928227,0.4366350537499723,-0.03552754645409151,3.315298590572964
svdn_concentrated+sector_vol_double_neutral,2,ew,3.0,"{""svdn_concentrated"": 0.5, ""sector_vol_double_neutral"": 0.5}",3.31568840824035,7.148306976463669,0.6199630103173372,-0.022408278091307965,4.925520089448048
svdn_concentrated+sector_vol_double_neutral,2,ew,7.0,"{""svdn_concentrated"": 0.5, ""sector_vol_double_neutral"": 0.5}",0.625082057861833,4.82381557540826,0.4183630103173372,-0.034091533747160785,2.4257710515988267
svdn_concentrated+sector_vol_double_neutral,2,iv,3.0,"{""svdn_concentrated"": 0.438, ""sector_vol_double_neutral"": 0.562}",3.295702583064375,7.2036872981467495,0.6115423081710734,-0.0216075275455635,4.933847809512013
svdn_concentrated+sector_vol_double_neutral,2,iv,7.0,"{""svdn_concentrated"": 0.438, ""sector_vol_double_neutral"": 0.562}",0.5582186237580322,4.828931962494441,0.40994230817107336,-0.033299714930774216,2.386227096600956
svdn_concentrated+ml_combined,2,ew,3.0,"{""svdn_concentrated"": 0.5, ""ml_combined"": 0.5}",4.078051471729572,6.977215355275313,0.6850196486110292,-0.029459518868378054,5.300941571709683
svdn_concentrated+ml_combined,2,ew,7.0,"{""svdn_concentrated"": 0.5, ""ml_combined"": 0.5}",1.6667340536030697,4.923833939901914,0.48341964861102904,-0.041106360243861384,3.0687345833052255
svdn_concentrated+ml_combined,2,iv,3.0,"{""svdn_concentrated"": 0.557, ""ml_combined"": 0.443}",4.082571559780561,7.055583933908331,0.6853321195049884,-0.028148051690592646,5.3383090681705365
svdn_concentrated+ml_combined,2,iv,7.0,"{""svdn_concentrated"": 0.557, ""ml_combined"": 0.443}",1.6308536290742024,4.980085528692308,0.48373211950498823,-0.03844947223340289,3.0760956378050697
gap_short_hedged+sector_vol_double_neutral,2,ew,3.0,"{""gap_short_hedged"": 0.5, ""sector_vol_double_neutral"": 0.5}",3.812479471680837,6.858401643229502,0.5175109320377633,-0.022104818886450217,5.034859597937495
gap_short_hedged+sector_vol_double_neutral,2,ew,7.0,"{""gap_short_hedged"": 0.5, ""sector_vol_double_neutral"": 0.5}",1.735250309943964,4.854597927677015,0.3663109320377633,-0.027385890303496918,2.9973597058130785
gap_short_hedged+sector_vol_double_neutral,2,iv,3.0,"{""gap_short_hedged"": 0.414, ""sector_vol_double_neutral"": 0.586}",3.7708832072440273,7.107344919102583,0.5234418078664578,-0.0224927099833494,5.114944534480864
gap_short_hedged+sector_vol_double_neutral,2,iv,7.0,"{""gap_short_hedged"": 0.414, ""sector_vol_double_neutral"": 0.586}",1.4933564868637528,4.93714191455969,0.3636106758382425,-0.028072510278276175,2.8951267364085242
gap_short_hedged+ml_combined,2,ew,3.0,"{""gap_short_hedged"": 0.5, ""ml_combined"": 0.5}",3.643466314655169,5.417702941730134,0.5825675703314551,-0.03259604150071371,4.369978083066717
gap_short_hedged+ml_combined,2,ew,7.0,"{""gap_short_hedged"": 0.5, ""ml_combined"": 0.5}",2.154650881506498,4.011588481353407,0.43136757033145523,-0.044060260128280127,2.9182677061853353
gap_short_hedged+ml_combined,2,iv,3.0,"{""gap_short_hedged"": 0.533, ""ml_combined"": 0.467}",3.649190038913734,5.4013811705084995,0.5760549810127985,-0.031506194767405904,4.365591214874512
gap_short_hedged+ml_combined,2,iv,7.0,"{""gap_short_hedged"": 0.533, ""ml_combined"": 0.467}",2.186032639278636,4.014526884357546,0.4281475672871727,-0.04320963338760975,2.936600175290561
sector_vol_double_neutral+ml_combined,2,ew,3.0,"{""sector_vol_double_neutral"": 0.5, ""ml_combined"": 0.5}",3.9091674741087425,7.104969614533861,0.6171998921160186,-0.023957596066733644,5.247963265739235
sector_vol_double_neutral+ml_combined,2,ew,7.0,"{""sector_vol_double_neutral"": 0.5, ""ml_combined"": 0.5}",1.2361473480502183,4.78422735163538,0.41559989211601844,-0.03348792276782131,2.752356389648834
sector_vol_double_neutral+ml_combined,2,iv,3.0,"{""sector_vol_double_neutral"": 0.617, ""ml_combined"": 0.383}",3.897467351131572,7.423097865798464,0.6019789695354544,-0.020366893446688517,5.373292304700193
sector_vol_double_neutral+ml_combined,2,iv,7.0,"{""sector_vol_double_neutral"": 0.617, ""ml_combined"": 0.383}",1.021296470952458,4.937136386280644,0.40037896953545427,-0.028421798153162148,2.6977199487451173
ml_mag_adaptive+ml_rank_target+idio_gap_reversal,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""idio_gap_reversal"": 0.333}",4.735881261961682,7.945210412056341,0.9173154006017239,-0.030217275051341752,6.064468400689327
ml_mag_adaptive+ml_rank_target+idio_gap_reversal,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""idio_gap_reversal"": 0.333}",2.7483581664034373,6.19907771002183,0.7157154006017238,-0.03402845692005152,4.198963443810835
ml_mag_adaptive+ml_rank_target+idio_gap_reversal,3,iv,3.0,"{""ml_mag_adaptive"": 0.195, ""ml_rank_target"": 0.299, ""idio_gap_reversal"": 0.506}",4.647545967112715,8.5961284018149,0.8132830261899362,-0.024610818586264793,6.279197240447399
ml_mag_adaptive+ml_rank_target+idio_gap_reversal,3,iv,7.0,"{""ml_mag_adaptive"": 0.195, ""ml_rank_target"": 0.299, ""idio_gap_reversal"": 0.506}",2.1930548647846337,6.465284120059093,0.6116830261899362,-0.02904645390085936,3.996539382005893
ml_mag_adaptive+ml_rank_target+svdn_concentrated,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""svdn_concentrated"": 0.333}",4.823003276125003,7.670071736708234,0.9419775195189661,-0.03317667965784765,6.005576219453354
ml_mag_adaptive+ml_rank_target+svdn_concentrated,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""svdn_concentrated"": 0.333}",2.946704162638519,6.028539502573801,0.7403775195189661,-0.038078313887924264,4.245625324292951
ml_mag_adaptive+ml_rank_target+svdn_concentrated,3,iv,3.0,"{""ml_mag_adaptive"": 0.224, ""ml_rank_target"": 0.344, ""svdn_concentrated"": 0.433}",4.750273280309128,7.81223095264578,0.8747024415380881,-0.030666458163322363,6.025027366127902
ml_mag_adaptive+ml_rank_target+svdn_concentrated,3,iv,7.0,"{""ml_mag_adaptive"": 0.224, ""ml_rank_target"": 0.344, ""svdn_concentrated"": 0.433}",2.6703385557862873,6.011680633746495,0.6731024415380882,-0.03630446368645179,4.085767860850222
ml_mag_adaptive+ml_rank_target+gap_short_hedged,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""gap_short_hedged"": 0.333}",4.50176914011013,6.7269568730691764,0.8736761339992503,-0.036754635684989156,5.416822475736912
ml_mag_adaptive+ml_rank_target+gap_short_hedged,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""gap_short_hedged"": 0.333}",3.094944064993547,5.433424051584789,0.7056761339992502,-0.04126489324419724,4.063009042390922
ml_mag_adaptive+ml_rank_target+gap_short_hedged,3,iv,3.0,"{""ml_mag_adaptive"": 0.233, ""ml_rank_target"": 0.358, ""gap_short_hedged"": 0.409}",4.38034302550296,6.591317727536034,0.7985771155805039,-0.03394253222833821,5.287990254084016
ml_mag_adaptive+ml_rank_target+gap_short_hedged,3,iv,7.0,"{""ml_mag_adaptive"": 0.233, ""ml_rank_target"": 0.358, ""gap_short_hedged"": 0.409}",2.9500888406295402,5.267842096537917,0.638230217489361,-0.03844205486649477,3.9075551651546854
ml_mag_adaptive+ml_rank_target+sector_vol_double_neutral,3,ew,3.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""sector_vol_double_neutral"": 0.333}",4.736050321758501,7.713264195239281,0.8967643485222924,-0.02988033908236165,5.967790828534283
ml_mag_adaptive+ml_rank_target+sector_vol_double_neutral,3,ew,7.0,"{""ml_mag_adaptive"": 0.333, ""ml_rank_target"": 0.333, ""sector_vol_double_neutral"": 0.333}",2.7773706293355684,5.979258974890602,0.6951643485222925,-0.034164784895637235,4.12080986146589
ml_mag_adaptive+ml_rank_target+sector_vol_double_neutral,3,iv,3.0,"{""ml_mag_adaptive"": 0.199, ""ml_rank_target"": 0.306, ""sector_vol_double_neutral"": 0.495}",4.655192496172171,8.110154575339369,0.7871718862050829,-0.024441647083446094,6.083900149443709
