date,n,turnover,gross,net
2023-01-11,7,0.7142857142857143,0.016467258083408876,0.016324400940551733
2023-01-18,6,1.0,0.0057024316266015215,0.005502431626601522
2023-01-19,17,0.6470588235294118,-0.0020074571248318816,-0.002136868889537764
2023-01-20,34,0.5588235294117647,-0.003433418342666428,-0.003545183048548781
2023-01-23,66,0.5151515151515151,0.00031995210500396047,0.00021692180197365742
2023-01-24,76,0.18421052631578946,0.0025920245144735368,0.0025551824092103787
2023-01-25,96,0.3125,2.5149697319166303e-06,-5.998503026808337e-05
2023-01-26,120,0.4166666666666667,-0.0002643721874201879,-0.0003477055207535212
2023-01-27,116,0.43103448275862066,0.0005054425169673357,0.0004192356204156116
2023-01-30,88,0.5909090909090909,-0.0022660148608521597,-0.002384196679033978
2023-01-31,96,0.375,0.0011228419575326568,0.0010478419575326568
2023-02-01,103,0.47572815533980584,0.0022300746159923273,0.0021349289849243664
2023-02-02,110,0.6636363636363637,-0.0018609926437413312,-0.001993719916468604
2023-02-03,87,0.3103448275862069,-0.0033069691375584667,-0.003369038103075708
2023-02-06,106,0.5,-0.0006693233868068733,-0.0007693233868068733
2023-02-07,87,0.42528735632183906,0.0010204144849134565,0.0009353570136490886
2023-02-08,58,0.5689655172413793,0.0030879179204233,0.002974124816975024
2023-02-09,32,0.875,0.0014274747689233393,0.0012524747689233392
2023-02-10,33,0.030303030303030304,0.0033161455177425233,0.003310084911681917
2023-03-08,5,1.0,0.0010480253026472416,0.0008480253026472417
2023-03-09,5,0.4,-0.004442753552661565,-0.004522753552661565
2023-03-10,5,0.4,-0.002454010588256658,-0.0025340105882566584
2023-03-31,6,1.0,-0.00024600410212333515,-0.00044600410212333513
2023-04-03,8,0.75,-0.0023166594223741448,-0.0024666594223741447
2023-04-04,11,0.2727272727272727,-0.012309093495189776,-0.012363638949735231
2023-04-05,13,0.15384615384615385,0.00579979616923023,0.005769026938460999
2023-04-06,14,0.35714285714285715,-0.003712156257677934,-0.0037835848291065052
2023-04-07,11,0.2727272727272727,-0.003885070420453555,-0.0039396158749990095
2023-04-10,8,0.625,-0.005575978668289557,-0.005700978668289557
2023-04-11,5,0.6,0.0067164737228131224,0.006596473722813122
2023-04-18,14,1.0,-0.0032469768483401828,-0.003446976848340183
2023-04-19,41,0.6585365853658537,-0.0015683124975538567,-0.0017000198146270274
2023-04-20,74,0.527027027027027,-0.0011356200520301583,-0.0012410254574355638
2023-04-21,75,0.04,0.0026135456422857473,0.002605545642285747
2023-04-24,78,0.11538461538461539,0.0021642708619439826,0.0021411939388670596
2023-04-25,65,0.26153846153846155,0.0005769687726371495,0.0005246610803294572
2023-04-26,78,0.9358974358974359,-0.001538956591500983,-0.0017261360786804702
2023-04-27,84,0.9523809523809523,0.0004637240612174291,0.00027324787074123867
2023-04-28,140,0.5,-0.0021124958231951464,-0.0022124958231951463
2023-05-01,206,0.36893203883495146,0.0007731518338065721,0.0006993654260395818
2023-05-02,224,0.17857142857142858,0.0010040144535575786,0.0009683001678432928
2023-05-10,126,0.9841269841269841,-0.00031692626031430866,-0.0005137516571397055
2023-05-11,61,1.2295081967213115,0.0003412375250613244,9.533588571706208e-05
2023-05-12,10,5.7,-0.0074720103536015554,-0.008612010353601556
2023-06-05,5,1.0,0.007155900625990426,0.006955900625990426
2023-06-06,6,0.16666666666666666,-0.006392396300881125,-0.0064257296342144585
2023-06-07,6,0.3333333333333333,0.010042474422427821,0.009975807755761155
2023-06-08,5,0.2,-0.021702215481874933,-0.02174221548187493
2023-06-23,5,1.0,0.0034528978661223335,0.0032528978661223334
