date,gross,net,topix_ret,hedge_notional,contracts,long_exposure
2025-09-19,-0.0013655634238567442,-0.0016034996238567442,-0.007144366674762592,0.4755495,3.0,0.7141315000000001
2025-09-22,0.000209013234201543,-3.6640965798457025e-05,0.0026626346770128873,0.4732155,3.0,0.7550555000000001
2025-09-24,-0.0017771654972588472,-0.0019784144972588473,0.001690309942813828,0.31651,2.0,0.689735
2025-09-25,0.004280233525548604,0.0040900578255486045,0.0003957174577351452,0.318409,2.0,0.6324695
2025-09-26,0.001298963389003714,0.001063697789003714,0.0013227305431364744,0.4774215,3.0,0.6989065
2025-09-29,-0.002618410778121758,-0.002852679478121758,-0.00867998949031168,0.4738485,3.0,0.6974950000000001
2025-09-30,-0.0013112311067569214,-0.0015282969067569212,0.0012317550275389166,0.470061,3.0,0.6152679999999999
2025-10-01,-0.00042732648325956735,-0.0006545529832595674,-0.008947442581372478,0.468402,3.0,0.6677304999999999
2025-10-02,-0.002434086766606965,-0.002651715466606965,-0.002255702273153304,0.464157,3.0,0.6239865
2025-10-03,0.0004011680852281487,0.0001659499852281487,0.011573138680468276,0.4640055,3.0,0.712085
2025-10-06,-0.007529068654576237,-0.007741084854576237,0.015816337776266343,0.4763745,3.0,0.5837065
2025-10-07,0.003695402179328163,0.003468378579328163,-0.0033008089915396166,0.48579,3.0,0.649328
2025-10-08,0.004539470520867066,0.004360575920867066,-0.0016291569729770528,0.324094,2.0,0.570379
2025-10-09,0.0011746942866164645,0.0009851361866164646,0.0028999338125510477,0.324835,2.0,0.6229554999999999
2025-10-10,-0.0017897216214239906,-0.0019912306214239905,-0.01265678167591966,0.323858,2.0,0.6836869999999999
2025-10-14,-0.004571480370156639,-0.004771984770156639,-0.005581327461146479,0.315158,2.0,0.687364
2025-10-15,0.005832685554965463,0.0056507816549654635,0.009580044586370962,0.315343,2.0,0.5941765
2025-10-16,-0.0023261597925940533,-0.002557679992594053,-0.0007268189971145755,0.4808625,3.0,0.6767385
2025-10-17,-0.003876949753828231,-0.004101999153828232,-0.0028212781616714366,0.4769115,3.0,0.6483355000000002
2025-10-20,-0.003113316697612575,-0.003333096597612575,0.010347787682182696,0.482277,3.0,0.6166225000000001
2025-10-21,-0.0021157246153948968,-0.0023495648153948967,-0.004698545717401248,0.489726,3.0,0.679475
2025-10-22,0.002773554313080432,0.002536004413080432,0.004276683925079627,0.487878,3.0,0.6998715
2025-10-23,5.9223672454262696e-05,-0.00012308902754573728,0.0018104005665200429,0.32479,2.0,0.5867735
2025-10-24,0.0002936753459836283,6.380584598362834e-05,-0.0004921951905498823,0.490659,3.0,0.6586884999999999
2025-10-27,-0.005831890126975826,-0.0060583314269758255,0.006249243432998375,0.49566,3.0,0.6365464999999999
2025-10-28,-0.002814445761841697,-0.003046813061841697,-0.009546230037919656,0.497631,3.0,0.6642055
2025-10-29,-0.009765779848945479,-0.010008933148945479,-0.003955931770811327,0.493689,3.0,0.7220774999999998
2025-10-30,0.0043690498195285005,0.0040872599195285,0.006863334238276675,0.655658,4.0,0.7532914999999999
2025-10-31,-0.007757785813934361,-0.007993975313934362,0.004631430406426107,0.4974705,3.0,0.683477
2025-11-04,0.0034702461685079257,0.0031862963685079255,-0.005100522675835828,0.665422,4.0,0.7543270000000002
2025-11-05,0.003480748275917135,0.003206678175917135,-0.009627097689132946,0.660012,4.0,0.7103385
2025-11-06,-0.010293557767388137,-0.010560874267388137,0.006781865195236714,0.658226,4.0,0.6783565
2025-11-07,0.00273296935815063,0.00249209245815063,0.0011441300362964313,0.494262,3.0,0.7101225
2025-11-10,0.0013578432114101022,0.0011120832114101021,-0.00011152001784320298,0.4976685,3.0,0.7311314999999999
2025-11-11,-0.002524966956822275,-0.002767834756822275,-0.004453849012720168,0.500466,3.0,0.713873
2025-11-12,0.0029355303034078305,0.0027071191034078305,0.006758012215369202,0.500517,3.0,0.641539
2025-11-13,0.009412067709730517,0.009173635909730518,0.0040468039749530504,0.5052135,3.0,0.6869455000000001
2025-11-14,0.001461126684183642,0.0012393042841836418,0.002961291266280419,0.5024835,3.0,0.6066285
2025-11-17,0.0006248871928011712,0.0003964408928011712,-0.0007462619737733656,0.5025045,3.0,0.6397270000000002
2025-11-18,-0.0016546950133169685,-0.0018924082133169684,-0.02121292404773667,0.498234,3.0,0.6903320000000001
2025-11-19,-0.003665114499422628,-0.003909095299422628,-0.004719454640797038,0.4891455,3.0,0.7307584999999999
2025-11-20,-0.008172361082908943,-0.008417537982908943,0.0052921820729998625,0.49233,3.0,0.7335544999999999
2025-11-21,0.010138644005265707,0.009884343005265707,0.007423406029760882,0.4910145,3.0,0.7804905
2025-11-25,-0.0024220191694890513,-0.0026645048694890513,-0.00823634358179981,0.497733,3.0,0.7146955
2025-11-26,0.005744074574155827,0.0054956036741558275,0.012510410254553461,0.497106,3.0,0.7452485000000002
2025-11-27,0.002517021371889974,0.002281994371889974,0.0004009242045368566,0.505083,3.0,0.6700520000000001
2025-11-28,0.0024126974119522467,0.0021758875119522467,0.003499016829736412,0.504999,3.0,0.6790505
2025-12-01,-0.007469382905830009,-0.007670272805830009,-0.012334246542919924,0.338002,2.0,0.6664475
2025-12-02,-0.006364529351350009,-0.006601362251350009,-0.002418516881845023,0.502374,3.0,0.6817905
2025-12-03,0.0003488499869144406,0.00011280718691444061,-0.0027128154358300183,0.5015085,3.0,0.6787055
2025-12-04,0.0030615109990450775,0.0028236460990450777,0.017211910043074763,0.5011065,3.0,0.6882180000000001
2025-12-05,-0.0029167921374163254,-0.0031420348374163252,-0.002447482949202162,0.5056215,3.0,0.620592
2025-12-08,0.0003189152541511445,7.977915415114447e-05,0.00448176278712209,0.5053815,3.0,0.690299
2025-12-09,-0.0027305753879991817,-0.002952540587999182,-0.0016869971450816923,0.508596,3.0,0.60123
2025-12-10,-0.0040520190755910165,-0.004292297575591016,-0.0015467243324779334,0.5091405,3.0,0.6922520000000001
2025-12-11,-0.00711698042554654,-0.00734375482554654,-0.015076438334462927,0.5112945,3.0,0.6225774999999999
2025-12-12,-0.0028040782795413794,-0.0030313237795413796,0.010092576749016091,0.508443,3.0,0.6277845
2025-12-15,0.0012525328788877492,0.0010133185788877492,0.005379258213183746,0.5119665,3.0,0.6841050000000001
2025-12-16,0.0007784362241562912,0.0005910508241562911,-0.01675641930722238,0.342794,2.0,0.5941329999999999
2025-12-17,0.002188691698655768,0.001957538598655768,0.0009357621559960005,0.504936,3.0,0.6508294999999998
2025-12-18,0.004059987570841339,0.0038206326708413382,0.0006826447266439217,0.50319,3.0,0.6935845
2025-12-19,-0.002757380427194928,-0.0029989163271949277,0.003332918201172985,0.505863,3.0,0.7018165
2025-12-22,-0.0019555795947020726,-0.0021953993947020725,-0.0031090904300322686,0.5123685,3.0,0.6867304999999999
2025-12-23,0.0019941624697794678,0.0017075716697794677,0.0038767987378409696,0.682006,4.0,0.750948
2025-12-24,0.003238507308061546,0.0029438661080615465,-0.004377109296243797,0.68447,4.0,0.7887359999999999
